Source,Target,nature_lien,label
aves_aa_4R_auth_0710,1455,conseiller_des_orfevres,"fergesheim, johanns"
aves_aa_4R_auth_0711,1455,conseiller_des_jardiniers,"wolff, friedrich"
aves_aa_4R_auth_0712,1455,conseiller_des_pêcheurs,"brüchelin, "
aves_aa_4R_auth_0713,1455,conseiller_des_sauniers,"ernoltzheim, von, claus"
aves_aa_4R_auth_0714,1455,conseiller_des_regrattiers_cordiers_et_fruitiers,"bergheim, von, johanns"
aves_aa_4R_auth_0348,1456,conseiller_des_tanneurs,"duntzenheim, claus"
aves_aa_4R_auth_0375,1456,ammeister,"schalk, obrecht"
aves_aa_4R_auth_0440,1456,conseiller_des_regrattiers_cordiers_et_fruitiers,"weipolt, johanns"
aves_aa_4R_auth_0452,1456,conseiller_des_constructeurs_de_bateaux,"hettemann, johanns"
aves_aa_4R_auth_0510,1456,conseiller_des_tailleurs,"leistmann, dietrich"
aves_aa_4R_auth_0523,1456,conseiller_des_charpentiers,"rippel, michel"
aves_aa_4R_auth_0528,1456,conseiller_des_sauniers,"trachenfeils, johanns"
aves_aa_4R_auth_0540,1456,conseiller_des_tisserands,"spiegel, johanns"
aves_aa_4R_auth_0557,1456,conseiller_des_marchands,"wormser, jacob"
aves_aa_4R_auth_0580,1456,conseiller_des_tonneliers,"holtzhauser, heintz"
aves_aa_4R_auth_0589,1456,conseiller_des_cabaretiers,"baumgarter, claus"
aves_aa_4R_auth_0607,1456,conseiller_des_boulangers,"dürr, walther"
aves_aa_4R_auth_0634,1456,conseiller_des_jardiniers,"trense, johanns"
aves_aa_4R_auth_0651,1456,conseiller_des_bateliers,"hage, jacob"
aves_aa_4R_auth_0652,1456,conseiller_des_crieurs_et_mesureurs_de_vin,"heiligenstein, von, anthenie"
aves_aa_4R_auth_0657,1456,conseiller_des_charrons,"voltz, johanns"
aves_aa_4R_auth_0659,1456,conseiller_des_maçons,"kacheler, johanns"
aves_aa_4R_auth_0660,1456,conseiller_des_forgerons,"holniet, johanns"
aves_aa_4R_auth_0665,1456,conseiller_des_marchands_de_grains,"dossenheim, claus"
aves_aa_4R_auth_0678,1456,conseiller_des_pêcheurs,"metziger, heinrich"
aves_aa_4R_auth_0691,1456,conseiller_des_coltineurs_de_tonneaux,"keinne, bechtolt"
aves_aa_4R_auth_0715,1456,conseiller_des_bouchers,"bechtolt, friedrich"
aves_aa_4R_auth_0716,1456,conseiller_des_drapiers,"rippel, michel"
aves_aa_4R_auth_0717,1456,conseiller_des_pelletiers,"vogt, walther"
aves_aa_4R_auth_0718,1456,conseiller_des_cordonniers,"schultheiss, claus"
aves_aa_4R_auth_0719,1456,conseiller_des_orfevres,"graff, johanns"
aves_aa_4R_auth_0720,1456,conseiller_des_barbiers_et_baigneurs,"worms, von, claus"
aves_aa_4R_auth_0721,1456,conseiller_des_gourmets_et_courtiers,"dürningen, von, wernher"
aves_aa_4R_auth_0722,1456,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"steinhart, johanns"
aves_aa_4R_auth_0440,1457,conseiller_des_regrattiers_cordiers_et_fruitiers,"weipolt, johanns"
aves_aa_4R_auth_0452,1457,conseiller_des_constructeurs_de_bateaux,"hettemann, johanns"
aves_aa_4R_auth_0476,1457,conseiller_des_jardiniers,"klaue, jacob"
aves_aa_4R_auth_0528,1457,conseiller_des_sauniers,"trachenfeils, johanns"
aves_aa_4R_auth_0535,1457,ammeister,"meiger, heinrich"
aves_aa_4R_auth_0580,1457,conseiller_des_tonneliers,"holtzhauser, heintz"
aves_aa_4R_auth_0583,1457,conseiller_des_pelletiers,"wissensee, claus"
aves_aa_4R_auth_0584,1457,conseiller_des_marchands_de_grains,"melbrühe, johanns"
aves_aa_4R_auth_0598,1457,conseiller_des_tanneurs,"reimbolt, diebolt"
aves_aa_4R_auth_0605,1457,conseiller_des_coltineurs_de_tonneaux,"förster, symont"
aves_aa_4R_auth_0607,1457,conseiller_des_boulangers,"dürr, walther"
aves_aa_4R_auth_0622,1457,conseiller_des_orfevres,"ross, johanns"
aves_aa_4R_auth_0638,1457,conseiller_des_cabaretiers,"bruder, stoffelus"
aves_aa_4R_auth_0645,1457,conseiller_des_charrons,"dreitzehn, claus"
aves_aa_4R_auth_0651,1457,conseiller_des_bateliers,"hage, jacob"
aves_aa_4R_auth_0659,1457,conseiller_des_maçons,"kacheler, johanns"
aves_aa_4R_auth_0660,1457,conseiller_des_forgerons,"holniet, johanns"
aves_aa_4R_auth_0684,1457,conseiller_des_crieurs_et_mesureurs_de_vin,"beingewant, claus"
aves_aa_4R_auth_0715,1457,conseiller_des_bouchers,"bechtolt, friedrich"
aves_aa_4R_auth_0718,1457,conseiller_des_cordonniers,"schultheiss, claus"
aves_aa_4R_auth_0720,1457,conseiller_des_barbiers_et_baigneurs,"worms, von, claus"
aves_aa_4R_auth_0723,1457,conseiller_des_marchands,"desche, johanns-heinrich"
aves_aa_4R_auth_0724,1457,conseiller_des_drapiers,"rippel, bernhart"
aves_aa_4R_auth_0725,1457,conseiller_des_tailleurs,"dolle, bechtolt"
aves_aa_4R_auth_0726,1457,conseiller_des_charpentiers,"vetter, jerge"
aves_aa_4R_auth_0727,1457,conseiller_des_pêcheurs,"helwig, sifrit"
aves_aa_4R_auth_0728,1457,conseiller_des_tisserands,"wolle, claus"
aves_aa_4R_auth_0729,1457,conseiller_des_gourmets_et_courtiers,", wernher"
aves_aa_4R_auth_0730,1457,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"lot, peter"
aves_aa_4R_auth_0275,1458,conseiller_des_jardiniers,"spete, johanns"
aves_aa_4R_auth_0371,1458,conseiller_des_boulangers,"linzer, claus"
aves_aa_4R_auth_0375,1458,conseiller_des_bateliers,"schalk, obrecht"
aves_aa_4R_auth_0523,1458,conseiller_des_charpentiers,"rippel, michel"
aves_aa_4R_auth_0528,1458,ammeister,"trachenfeils, johanns"
aves_aa_4R_auth_0544,1458,conseiller_des_bouchers,"bechtolt, wilhelm"
aves_aa_4R_auth_0583,1458,conseiller_des_pelletiers,"wissensee, claus"
aves_aa_4R_auth_0584,1458,conseiller_des_marchands_de_grains,"melbrühe, johanns"
aves_aa_4R_auth_0590,1458,conseiller_des_forgerons,"weidemann, johanns"
aves_aa_4R_auth_0598,1458,conseiller_des_tanneurs,"reimbolt, diebolt"
aves_aa_4R_auth_0605,1458,conseiller_des_coltineurs_de_tonneaux,"förster, symont"
aves_aa_4R_auth_0622,1458,conseiller_des_orfevres,"ross, johanns"
aves_aa_4R_auth_0638,1458,conseiller_des_cabaretiers,"bruder, stoffelus"
aves_aa_4R_auth_0645,1458,conseiller_des_charrons,"dreitzehn, claus"
aves_aa_4R_auth_0671,1458,conseiller_des_tonneliers,"pfaffenheim, sifrit"
aves_aa_4R_auth_0684,1458,conseiller_des_crieurs_et_mesureurs_de_vin,"beingewant, claus"
aves_aa_4R_auth_0690,1458,conseiller_des_regrattiers_cordiers_et_fruitiers,"gemersheim, von, andres"
aves_aa_4R_auth_0723,1458,conseiller_des_marchands,"desche, johanns-heinrich"
aves_aa_4R_auth_0725,1458,conseiller_des_tailleurs,"dolle, bechtolt"
aves_aa_4R_auth_0727,1458,conseiller_des_pêcheurs,"helwig, sifrit"
aves_aa_4R_auth_0728,1458,conseiller_des_tisserands,"wolle, claus"
aves_aa_4R_auth_0730,1458,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"lot, peter"
aves_aa_4R_auth_0731,1458,conseiller_des_drapiers,"ehenheim, von, veltin"
aves_aa_4R_auth_0732,1458,conseiller_des_maçons,"ziegler, claus"
aves_aa_4R_auth_0733,1458,conseiller_des_cordonniers,"hennenberg, diebolt"
aves_aa_4R_auth_0734,1458,conseiller_des_barbiers_et_baigneurs,"schiesel, peter"
aves_aa_4R_auth_0735,1458,conseiller_des_sauniers,"herbst, johanns"
aves_aa_4R_auth_0736,1458,conseiller_des_gourmets_et_courtiers,"dalheim, von, johanns"
aves_aa_4R_auth_0737,1458,conseiller_des_constructeurs_de_bateaux,"klige, konrat"
aves_aa_4R_auth_0275,1459,conseiller_des_jardiniers,"spete, johanns"
aves_aa_4R_auth_0371,1459,conseiller_des_boulangers,"linzer, claus"
aves_aa_4R_auth_0375,1459,conseiller_des_bateliers,"schalk, obrecht"
aves_aa_4R_auth_0537,1459,conseiller_des_marchands_de_grains,"birbaum, heinrich"
aves_aa_4R_auth_0540,1459,conseiller_des_tisserands,"spiegel, johanns"
aves_aa_4R_auth_0544,1459,conseiller_des_bouchers,"bechtolt, wilhelm"
aves_aa_4R_auth_0557,1459,conseiller_des_marchands,"wormser, jacob"
aves_aa_4R_auth_0581,1459,conseiller_des_tanneurs,"minner, johanns"
aves_aa_4R_auth_0584,1459,ammeister,"melbrühe, johanns"
aves_aa_4R_auth_0590,1459,conseiller_des_forgerons,"weidemann, johanns"
aves_aa_4R_auth_0648,1459,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"marckoltzheim, von, johanns"
aves_aa_4R_auth_0654,1459,conseiller_des_orfevres,"hertzog, johanns"
aves_aa_4R_auth_0671,1459,conseiller_des_tonneliers,"pfaffenheim, sifrit"
aves_aa_4R_auth_0690,1459,conseiller_des_regrattiers_cordiers_et_fruitiers,"gemersheim, von, andres"
aves_aa_4R_auth_0699,1459,conseiller_des_pêcheurs,"sankt-arbogast, ulrich"
aves_aa_4R_auth_0731,1459,conseiller_des_drapiers,"ehenheim, von, veltin"
aves_aa_4R_auth_0732,1459,conseiller_des_maçons,"ziegler, claus"
aves_aa_4R_auth_0733,1459,conseiller_des_cordonniers,"hennenberg, diebolt"
aves_aa_4R_auth_0734,1459,conseiller_des_barbiers_et_baigneurs,"schiesel, peter"
aves_aa_4R_auth_0735,1459,conseiller_des_sauniers,"herbst, johanns"
aves_aa_4R_auth_0736,1459,conseiller_des_gourmets_et_courtiers,"dalheim, von, johanns"
aves_aa_4R_auth_0737,1459,conseiller_des_constructeurs_de_bateaux,"klige, konrat"
aves_aa_4R_auth_0738,1459,conseiller_des_cabaretiers,"duntzenheim, konrat"
aves_aa_4R_auth_0739,1459,conseiller_des_tailleurs,"schlecht, johanns"
aves_aa_4R_auth_0740,1459,conseiller_des_pelletiers,"brant, johanns"
aves_aa_4R_auth_0741,1459,conseiller_des_charpentiers,"scholle, bernhart"
aves_aa_4R_auth_0742,1459,conseiller_des_crieurs_et_mesureurs_de_vin,"bintz, claus"
aves_aa_4R_auth_0743,1459,conseiller_des_charrons,"schertzheim, johanns"
aves_aa_4R_auth_0744,1459,conseiller_des_coltineurs_de_tonneaux,"illkirch, von, laurentz"
aves_aa_4R_auth_0484,1460,conseiller_des_drapiers,"bidermann, claus"
aves_aa_4R_auth_0528,1460,conseiller_des_sauniers,"trachenfeils, johanns"
aves_aa_4R_auth_0537,1460,conseiller_des_marchands_de_grains,"birbaum, heinrich"
