aves_aa_564-41r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:31:16, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-41v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:31:44, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-42r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:31:47, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-42v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:31:54, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-43r_detailsceau.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:34:21, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-43r_detailtexte.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:34:16, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-43r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:34:12, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-43v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:34:48, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-44r_detailsceau.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:36:10, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-44r_detailtexte.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:36:05, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
