PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
sixt,sixte,"['masc', 'latin']","['sixt', 'six', 'sitze', 'sitz', 'sytze']"
sophie,sophie,"['fém', 'grec']","['söffche', 'sophie']"
stefan,stéphane,"['masc', 'grec']","['stefan', 'steffan', 'steffann', 'stepfan', 'stephan', 'stephann']"
stoffelus,christophe,"['masc', 'grec']","['stoffelus', 'stofelus', 'stoffels', 'stöffelus', 'stöfelus', 'stöfels', 'stöffelin']"
strauss,,"['masc', 'germanique']","['struße', 'strauss']"
symont,simon,"['masc', 'hébraïque']","['symont', 'symond', 'simont', 'simond', 'sÿmont', 'symon', 'sỳmont', 'symmont', 'symund', 'symunt']"
thoman,thomas,"['masc', 'arameen']","['thoman', 'thomman', 'thomann', 'thumman', 'döman']"
ube,,['masc'],"['ybey', 'ube']"
uhlmann,,"['masc', 'germanique']","['üllin', 'uhlmann', 'ullin', 'ule', 'ulman', 'ulin']"
ulrich,ulrich,"['masc', 'germanique']","['ülrich', 'ulrich', 'uelrich', 'uolrich', 'ualrich', 'ùlrich', 'uͦlrich', 'uͣlrich', 'uͤlrich']"
ulrich-hensel,,"['masc', 'germanique', 'composé']","['uͦlrich hensel', 'ulrich-hensel']"
ursula,ursule,"['fém', 'germanique']","['ursüla', 'ursula', 'ursel']"
veltin,valentin,"['masc', 'latin']","['veltin', 'vellentin']"
völtz,volkmar,"['masc', 'germanique', 'diminutif']","['voltz', 'völtz', 'volz', 'völz', 'volmar']"
walraff,,"['masc', 'germanique']",['walraff']
walther,walther,"['masc', 'germanique']",['walther']
walther-hiltebrant,,"['masc', 'compose', 'germanique']","['walther hiltbrant', 'walther-hiltebrant']"
weldel,,"['masc', 'germanique']",['weldel']
wendeling,,"['masc', 'germanique']",['wendeling']
wernher,werner,"['masc', 'germanique']","['wernher', 'werner', 'wernlin', 'werlin']"
wetzel,,"['masc', 'germanique']",['wetzel']
wierlin,,"['masc', 'germanique']",['wierlin']
wilhelm,guillaume,"['masc', 'germanique']",['wilhelm']
willibolt,,"['masc', 'germanique']","['willebolt', 'willibolt']"
wirich,,"['masc', 'germanique']","['wirich', 'wyrich']"
wolff,,"['masc', 'germanique']","['wölffelin', 'wolff', 'wolffel']"
wolffhelm,,"['masc', 'germanique']",['wolffhelm']
üntzel,,"['masc', 'germanique']","['üntzel', 'untzel']"
