Id,Label,Cat
aves_aa_4R_auth_0177,"seltz, von, johanns",personne
aves_aa_4R_auth_0178,"armbruster, konrat",personne
aves_aa_4R_auth_0179,"mahler, hermann",personne
aves_aa_4R_auth_0180,"bere, hensel",personne
aves_aa_4R_auth_0181,"hertzog, johanns",personne
aves_aa_4R_auth_0182,"gauch, johanns",personne
aves_aa_4R_auth_0183,"scherer, rudolff",personne
aves_aa_4R_auth_0184,"renner, diebolt",personne
aves_aa_4R_auth_0185,"wachsmann, zum, fritsch",personne
aves_aa_4R_auth_0186,"dreitzehn, reimbolt",personne
aves_aa_4R_auth_0187,"burkhart, riffe",personne
aves_aa_4R_auth_0188,"meister, heintz",personne
aves_aa_4R_auth_0189,"zirtzer, ulrich",personne
aves_aa_4R_auth_0190,"bidermann, johanns",personne
aves_aa_4R_auth_0191,"sturm, johanns",personne
aves_aa_4R_auth_0192,"ammeister, johanns",personne
aves_aa_4R_auth_0193,"villinger, peter",personne
aves_aa_4R_auth_0194,"schwert, johanns",personne
aves_aa_4R_auth_0195,"wasselnheim, von, johanns",personne
aves_aa_4R_auth_0196,"haslach von, peter",personne
aves_aa_4R_auth_0197,"merckwiller, küntz",personne
aves_aa_4R_auth_0198,"frankenheim, ottemann",personne
aves_aa_4R_auth_0199,"müntzer, burkhart",personne
aves_aa_4R_auth_0200,"brüchelin, hansekint",personne
aves_aa_4R_auth_0201,"flach, johanns",personne
aves_aa_4R_auth_0202,"blumenstein, johanns",personne
aves_aa_4R_auth_0203,"burkhart, heintz",personne
aves_aa_4R_auth_0204,"spitznagel, johanns",personne
aves_aa_4R_auth_0205,"wibolsheim, johanns",personne
aves_aa_4R_auth_0206,"hermann, jacob",personne
aves_aa_4R_auth_0207,"berse, johanns",personne
aves_aa_4R_auth_0208,"sprenger, claus",personne
aves_aa_4R_auth_0209,"mommenheim, johanns",personne
aves_aa_4R_auth_0210,"kacheler, anthenie",personne
aves_aa_4R_auth_0211,"armbruster, johanns",personne
aves_aa_4R_auth_0212,"kerb, johanns",personne
aves_aa_4R_auth_0213,"kenen, zur, jeckel",personne
aves_aa_4R_auth_0214,"schmalriem, andres",personne
aves_aa_4R_auth_0215,"zender, johanns",personne
aves_aa_4R_auth_0216,"scherer, walther",personne
aves_aa_4R_auth_0217,"mannertrieb, diebolt",personne
aves_aa_4R_auth_0218,"mentzer, johanns",personne
aves_aa_4R_auth_0219,"seiler, ruhlemann",personne
aves_aa_4R_auth_0220,"tuchscherer, ottemann",personne
aves_aa_4R_auth_0221,,personne
aves_aa_4R_auth_0222,"willgottheim, johanns",personne
aves_aa_4R_auth_0223,"epfig, von, hannemann",personne
aves_aa_4R_auth_0224,"meiger, claus",personne
aves_aa_4R_auth_0225,"jeckelin, symont",personne
aves_aa_4R_auth_0226,"rawensburg, johanns",personne
aves_aa_4R_auth_0227,"kriegsheim, von, johanns",personne
aves_aa_4R_auth_0228,"brüchelin, claus",personne
aves_aa_4R_auth_0229,"saltzmütter, dietrich",personne
aves_aa_4R_auth_0230,"wurant, rudolff",personne
aves_aa_4R_auth_0231,"lampertheim, von, peter",personne
aves_aa_4R_auth_0232,"brucker, peter",personne
aves_aa_4R_auth_0233,"nussmann, peter",personne
aves_aa_4R_auth_0234,"heimburg, küntz",personne
aves_aa_4R_auth_0235,"gerbot, claus",personne
aves_aa_4R_auth_0236,"dannenfels, johanns",personne
aves_aa_4R_auth_0237,"stoltz, peter",personne
aves_aa_4R_auth_0238,"spirer, claus",personne
aves_aa_4R_auth_0239,"kenen, zur, jacob",personne
aves_aa_4R_auth_0240,"harnescher, blesin",personne
aves_aa_4R_auth_0241,"bock, ludwig",personne
aves_aa_4R_auth_0242,"hug, johanns",personne
aves_aa_4R_auth_0243,"pfluger, ottemann",personne
aves_aa_4R_auth_0244,"kutteltzheim, michel",personne
aves_aa_4R_auth_0245,"bechtolt, johanns",personne
aves_aa_4R_auth_0246,,personne
aves_aa_4R_auth_0247,"meiger, jeckel",personne
aves_aa_4R_auth_0248,"göffde, von, claus",personne
aves_aa_4R_auth_0249,"arner, heinrich",personne
aves_aa_4R_auth_0250,"wild, küntz",personne
aves_aa_4R_auth_0251,"meiger, heinrich",personne
aves_aa_4R_auth_0252,"wilgen, zur, jacob",personne
aves_aa_4R_auth_0253,"flöss, heintz",personne
aves_aa_4R_auth_0254,"roser, heintz",personne
aves_aa_4R_auth_0255,"ingenheim, küntz",personne
aves_aa_4R_auth_0256,"dolde, bechtolt",personne
aves_aa_4R_auth_0257,"wernher, claus",personne
aves_aa_4R_auth_0258,"giger, claus",personne
aves_aa_4R_auth_0259,"reichwein, walther",personne
aves_aa_4R_auth_0260,"gerter, konrat",personne
aves_aa_4R_auth_0261,"kerling, claus",personne
aves_aa_4R_auth_0262,"renner, johanns",personne
aves_aa_4R_auth_0263,"vetter, claus",personne
aves_aa_4R_auth_0264,"schnipper, claus",personne
aves_aa_4R_auth_0265,"arnolt, konrat",personne
aves_aa_4R_auth_0266,"siffermann, riffe",personne
aves_aa_4R_auth_0267,"rhinau, johanns",personne
aves_aa_4R_auth_0268,"klein, dietrich",personne
aves_aa_4R_auth_0269,"müntzenberg, heinrich",personne
aves_aa_4R_auth_0270,"spete, johanns",personne
aves_aa_4R_auth_0271,"schluch, im, johanns",personne
aves_aa_4R_auth_0272,"nothalden, von, heinrich",personne
aves_aa_4R_auth_0273,"buchswiller, von, burkhart",personne
aves_aa_4R_auth_0274,"schwob, johanns",personne
aves_aa_4R_auth_0275,"lampertheim, von, johanns",personne
aves_aa_4R_auth_0276,"müntzenberg, johanns",personne
aves_aa_4R_auth_0277,"dossenheim, von, hug",personne
aves_aa_4R_auth_0278,"kacheler, sifrit",personne
aves_aa_4R_auth_0279,"waldeck, konrat",personne
aves_aa_4R_auth_0280,"schnell, johanns",personne
aves_aa_4R_auth_0281,"risser, claus",personne
aves_aa_4R_auth_0282,"peter, johanns",personne
aves_aa_4R_auth_0283,"bader, johanns",personne
aves_aa_4R_auth_0284,,personne
aves_aa_4R_auth_0285,"gerbot, küntz",personne
aves_aa_4R_auth_0286,"honau, von, claus",personne
aves_aa_4R_auth_0287,,personne
aves_aa_4R_auth_0288,,personne
aves_aa_4R_auth_0289,"pfluger, heintz",personne
aves_aa_4R_auth_0290,"kilwart, johanns",personne
aves_aa_4R_auth_0291,"würtzel, johanns",personne
aves_aa_4R_auth_0292,,personne
aves_aa_4R_auth_0293,"basel, von, diebolt",personne
aves_aa_4R_auth_0294,"hüter, johanns",personne
aves_aa_4R_auth_0295,"kride, heintz",personne
aves_aa_4R_auth_0296,"krapp, johanns",personne
aves_aa_4R_auth_0297,"pfettisheim, johanns",personne
aves_aa_4R_auth_0298,"eckboltzheim, von, claus",personne
aves_aa_4R_auth_0299,,personne
aves_aa_4R_auth_0300,"lang, fritsch",personne
aves_aa_4R_auth_0301,"beildeck, adam",personne
aves_aa_4R_auth_0302,"pfluger, oberlin",personne
aves_aa_4R_auth_0303,"götze, bechtolt",personne
aves_aa_4R_auth_0304,"risser, konrat",personne
aves_aa_4R_auth_0305,"ingenheim, konrat",personne
aves_aa_4R_auth_0306,"giger, johanns",personne
aves_aa_4R_auth_0307,"gerbot, johanns",personne
aves_aa_4R_auth_0308,"dossenheim, hug",personne
aves_aa_4R_auth_0309,"lauwelin, ruhlemann",personne
aves_aa_4R_auth_0310,"bülle, johanns",personne
aves_aa_4R_auth_0311,,personne
aves_aa_4R_auth_0312,"stacheler, claus",personne
aves_aa_4R_auth_0313,"brüchelin, johanns",personne
aves_aa_4R_auth_0314,"träger, oberlin",personne
aves_aa_4R_auth_0315,"dürr, claus",personne
aves_aa_4R_auth_0316,"landolff, jacob",personne
aves_aa_4R_auth_0317,"scheubelin, johanns",personne
aves_aa_4R_auth_0318,"kalt, johanns",personne
aves_aa_4R_auth_0319,"willgottheim, von, johanns",personne
aves_aa_4R_auth_0320,"dentener, johanns",personne
aves_aa_4R_auth_0321,"trüchtersheim, von, ruhlemann",personne
aves_aa_4R_auth_0322,"zoller, johanns",personne
aves_aa_4R_auth_0323,"ettenheim, von, claus",personne
aves_aa_4R_auth_0324,,personne
aves_aa_4R_auth_0325,"üsenberg, heintz",personne
aves_aa_4R_auth_0326,"stefan, heinrich",personne
aves_aa_4R_auth_0327,"nüffer, behremann",personne
aves_aa_4R_auth_0328,"spete, claus",personne
aves_aa_4R_auth_0329,,personne
aves_aa_4R_auth_0330,"schmerwer, andres",personne
aves_aa_4R_auth_0331,"lichtenberg, heinrich",personne
aves_aa_4R_auth_0332,"harrer, oberlin",personne
