Source,Target,nature_lien,label
aves_aa_4R_auth_0206,1419,conseiller_des_barbiers_et_baigneurs,"flach, johanns"
aves_aa_4R_auth_0207,1424,conseiller_des_sauniers,"blumenstein, johanns"
aves_aa_4R_auth_0208,1429,conseiller_des_regrattiers_cordiers_et_fruitiers,"burkhart, heintz"
aves_aa_4R_auth_0209,1411,conseiller_des_constructeurs_de_bateaux,"spitznagel, johanns"
aves_aa_4R_auth_0210,1411,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"wibolsheim, johanns"
aves_aa_4R_auth_0211,1412,conseiller_des_boulangers,"hermann, jacob"
aves_aa_4R_auth_0212,1412,conseiller_des_bouchers,"berse, johanns"
aves_aa_4R_auth_0213,1436,conseiller_des_drapiers,"sprenger, claus"
aves_aa_4R_auth_0214,1412,conseiller_des_cabaretiers,"mommenheim, johanns"
aves_aa_4R_auth_0215,1412,conseiller_des_maçons,"kacheler, anthenie"
aves_aa_4R_auth_0216,1412,conseiller_des_bateliers,"armbruster, johanns"
aves_aa_4R_auth_0217,1415,conseiller_des_charpentiers,"kerb, johanns"
aves_aa_4R_auth_0218,1412,conseiller_des_crieurs_et_mesureurs_de_vin,"kenen, zur, jeckel"
aves_aa_4R_auth_0219,1434,conseiller_des_orfevres,"schmalriem, andres"
aves_aa_4R_auth_0220,1412,conseiller_des_jardiniers,"zender, johanns"
aves_aa_4R_auth_0221,1412,conseiller_des_barbiers_et_baigneurs,"scherer, walther"
aves_aa_4R_auth_0222,1414,conseiller_des_tisserands,"mannertrieb, diebolt"
aves_aa_4R_auth_0223,1417,conseiller_des_charrons,"mentzer, johanns"
aves_aa_4R_auth_0224,1418,conseiller_des_regrattiers_cordiers_et_fruitiers,"seiler, ruhlemann"
aves_aa_4R_auth_0225,1412,conseiller_des_drapiers,"tuchscherer, ottemann"
aves_aa_4R_auth_0226,1413,conseiller_des_marchands,"voltz, "
aves_aa_4R_auth_0227,1413,conseiller_des_tonneliers,"willgottheim, johanns"
aves_aa_4R_auth_0228,1418,conseiller_des_forgerons,"epfig, von, hannemann"
aves_aa_4R_auth_0229,1419,conseiller_des_bateliers,"meiger, claus"
aves_aa_4R_auth_0230,1413,conseiller_des_charpentiers,"jeckelin, symont"
aves_aa_4R_auth_0231,1413,conseiller_des_cordonniers,"rawensburg, johanns"
aves_aa_4R_auth_0232,1416,conseiller_des_orfevres,"kriegsheim, von, johanns"
aves_aa_4R_auth_0233,1413,conseiller_des_pêcheurs,"brüchelin, claus"
aves_aa_4R_auth_0234,1446,conseiller_des_sauniers,"saltzmütter, dietrich"
aves_aa_4R_auth_0235,1413,conseiller_des_regrattiers_cordiers_et_fruitiers,"wurant, rudolff"
aves_aa_4R_auth_0236,1413,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"lampertheim, von, peter"
aves_aa_4R_auth_0237,1437,conseiller_des_marchands,"brucker, peter"
aves_aa_4R_auth_0238,1414,conseiller_des_drapiers,"nussmann, peter"
aves_aa_4R_auth_0239,1414,conseiller_des_tonneliers,"heimburg, küntz"
aves_aa_4R_auth_0240,1423,conseiller_des_tanneurs,"gerbot, claus"
aves_aa_4R_auth_0241,1414,conseiller_des_cabaretiers,"dannenfels, johanns"
aves_aa_4R_auth_0242,1436,conseiller_des_tailleurs,"stoltz, peter"
aves_aa_4R_auth_0243,1431,conseiller_des_pelletiers,"spirer, claus"
aves_aa_4R_auth_0244,1436,conseiller_des_crieurs_et_mesureurs_de_vin,"kenen, zur, jacob"
aves_aa_4R_auth_0245,1428,conseiller_des_orfevres,"harnescher, blesin"
aves_aa_4R_auth_0246,1414,conseiller_des_jardiniers,"bock, ludwig"
aves_aa_4R_auth_0247,1423,conseiller_des_pêcheurs,"hug, johanns"
aves_aa_4R_auth_0248,1426,conseiller_des_charrons,"pfluger, ottemann"
aves_aa_4R_auth_0249,1414,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"kutteltzheim, michel"
aves_aa_4R_auth_0250,1436,conseiller_des_bouchers,"bechtolt, johanns"
aves_aa_4R_auth_0251,1415,conseiller_des_marchands,"rüllin, "
aves_aa_4R_auth_0252,1418,conseiller_des_boulangers,"meiger, jeckel"
aves_aa_4R_auth_0253,1430,conseiller_des_tonneliers,"göffde, von, claus"
aves_aa_4R_auth_0254,1424,conseiller_des_cabaretiers,"arner, heinrich"
aves_aa_4R_auth_0255,1424,conseiller_des_maçons,"wild, küntz"
aves_aa_4R_auth_0256,1415,conseiller_des_bateliers,"meiger, heinrich"
aves_aa_4R_auth_0257,1417,conseiller_des_crieurs_et_mesureurs_de_vin,"wilgen, zur, jacob"
aves_aa_4R_auth_0258,1449,conseiller_des_cordonniers,"flöss, heintz"
aves_aa_4R_auth_0259,1429,conseiller_des_pêcheurs,"roser, heintz"
aves_aa_4R_auth_0260,1415,conseiller_des_tisserands,"ingenheim, küntz"
aves_aa_4R_auth_0261,1415,conseiller_des_gourmets_et_courtiers,"dolde, bechtolt"
aves_aa_4R_auth_0262,1415,conseiller_des_charrons,"wernher, claus"
aves_aa_4R_auth_0263,1415,conseiller_des_regrattiers_cordiers_et_fruitiers,"giger, claus"
aves_aa_4R_auth_0264,1423,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"reichwein, walther"
aves_aa_4R_auth_0265,1416,conseiller_des_boulangers,"gerter, konrat"
aves_aa_4R_auth_0266,1416,conseiller_des_bouchers,"kerling, claus"
aves_aa_4R_auth_0267,1448,conseiller_des_drapiers,"renner, johanns"
aves_aa_4R_auth_0268,1440,conseiller_des_tonneliers,"vetter, claus"
aves_aa_4R_auth_0269,1416,conseiller_des_forgerons,"schnipper, claus"
aves_aa_4R_auth_0270,1443,conseiller_des_tailleurs,"arnolt, konrat"
aves_aa_4R_auth_0271,1416,conseiller_des_bateliers,"siffermann, riffe"
aves_aa_4R_auth_0272,1419,conseiller_des_pelletiers,"rhinau, johanns"
aves_aa_4R_auth_0273,1425,conseiller_des_charpentiers,"klein, dietrich"
aves_aa_4R_auth_0274,1416,conseiller_des_cordonniers,"müntzenberg, heinrich"
aves_aa_4R_auth_0275,1473,conseiller_des_jardiniers,"spete, johanns"
aves_aa_4R_auth_0276,1416,conseiller_des_barbiers_et_baigneurs,"schluch, im, johanns"
aves_aa_4R_auth_0277,1416,conseiller_des_gourmets_et_courtiers,"nothalden, von, heinrich"
aves_aa_4R_auth_0278,1419,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"buchswiller, von, burkhart"
aves_aa_4R_auth_0279,1420,conseiller_des_boulangers,"schwob, johanns"
aves_aa_4R_auth_0280,1417,conseiller_des_tonneliers,"lampertheim, von, johanns"
aves_aa_4R_auth_0281,1426,conseiller_des_tanneurs,"müntzenberg, johanns"
aves_aa_4R_auth_0282,1417,conseiller_des_cabaretiers,"dossenheim, von, hug"
aves_aa_4R_auth_0283,1429,conseiller_des_maçons,"kacheler, sifrit"
aves_aa_4R_auth_0284,1417,conseiller_des_tailleurs,"waldeck, konrat"
aves_aa_4R_auth_0285,1417,conseiller_des_charpentiers,"schnell, johanns"
aves_aa_4R_auth_0286,1417,conseiller_des_orfevres,"risser, claus"
aves_aa_4R_auth_0287,1417,conseiller_des_pêcheurs,"peter, johanns"
aves_aa_4R_auth_0288,1417,conseiller_des_barbiers_et_baigneurs,"bader, johanns"
aves_aa_4R_auth_0289,1420,conseiller_des_gourmets_et_courtiers,", diebolt"
aves_aa_4R_auth_0290,1425,conseiller_des_constructeurs_de_bateaux,"obrecht, johanns"
aves_aa_4R_auth_0291,1420,conseiller_des_bouchers,"voltz, claus"
aves_aa_4R_auth_0292,1418,conseiller_des_tanneurs,"gerbot, küntz"
aves_aa_4R_auth_0293,1418,conseiller_des_tailleurs,"honau, von, claus"
aves_aa_4R_auth_0294,1418,conseiller_des_pelletiers,"spirer, "
aves_aa_4R_auth_0295,1418,conseiller_des_charpentiers,", adam"
aves_aa_4R_auth_0296,1418,conseiller_des_cordonniers,"pfluger, heintz"
aves_aa_4R_auth_0297,1434,conseiller_des_jardiniers,"kilwart, johanns"
aves_aa_4R_auth_0298,1436,conseiller_des_pêcheurs,"würtzel, johanns"
aves_aa_4R_auth_0299,1418,conseiller_des_barbiers_et_baigneurs,", rudolff"
aves_aa_4R_auth_0300,1430,conseiller_des_tisserands,"basel, von, diebolt"
aves_aa_4R_auth_0301,1437,conseiller_des_gourmets_et_courtiers,"hüter, johanns"
aves_aa_4R_auth_0302,1418,conseiller_des_constructeurs_de_bateaux,"kride, heintz"
aves_aa_4R_auth_0303,1418,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"krapp, johanns"
aves_aa_4R_auth_0304,1419,conseiller_des_marchands,"pfettisheim, johanns"
