Id,type,Label,corporation,betweenesscentrality,modularity_class,weighted degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality
aves_aa_4R_auth_0819,personne,"schedeler, johanns",corporation_des_barbiers_et_baigneurs,0.000517,3,146,0.261072,4,0.408299,0.460027
aves_aa_4R_auth_0066,personne,"schön, heintz",corporation_des_tailleurs,0.000506,0,56,0.134671,4,0.402948,0.446816
aves_aa_4R_auth_0228,personne,"epfig, von, hannemann",corporation_des_forgerons,0.000505,0,83,0.227057,4,0.43348,0.476541
aves_aa_4R_auth_0671,personne,"pfaffenheim, sifrit",corporation_des_tonneliers,0.000505,2,113,0.339304,3,0.438894,0.483062
aves_aa_4R_auth_0533,personne,"böschwiller, claus",corporation_des_marchands,0.0005,1,56,0.223883,3,0.463932,0.492039
aves_aa_4R_auth_0645,personne,"dreitzehn, claus",corporation_des_charrons,0.000497,2,112,0.334704,3,0.447476,0.489329
aves_aa_4R_auth_0884,personne,"morsmünster, von, gangolff",corporation_des_maçons,0.000488,3,88,0.15191,4,0.388319,0.434451
aves_aa_4R_auth_0404,personne,"volmar, fritsch",corporation_des_crieurs_et_mesureurs_de_vin,0.000486,0,84,0.259135,4,0.465689,0.501016
aves_aa_4R_auth_0149,personne,"frei, johanns",corporation_des_tisserands,0.00048,0,55,0.183333,4,0.442446,0.476287
aves_aa_4R_auth_0272,personne,"rhinau, johanns",corporation_des_pelletiers,0.000476,0,56,0.167343,4,0.44707,0.478574
aves_aa_4R_auth_0278,personne,"buchswiller, von, burkhart",corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000476,0,56,0.167343,4,0.44707,0.478574
aves_aa_4R_auth_0015,personne,"heischer, lienhart",corporation_des_crieurs_et_mesureurs_de_vin,0.000474,0,84,0.134488,5,0.381543,0.434485
aves_aa_4R_auth_0029,personne,"rhinau, walther",corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000474,0,84,0.134488,5,0.381543,0.434485
aves_aa_4R_auth_0098,personne,"rohrer, marx",corporation_des_barbiers_et_baigneurs,0.000464,0,84,0.184686,4,0.427454,0.471883
aves_aa_4R_auth_0592,personne,"studel, johanns",corporation_des_crieurs_et_mesureurs_de_vin,0.000461,1,84,0.337998,3,0.474217,0.507283
