Recid,nom,prenom,surnom
aves_aa_4R_auth_0290,lang,fritsch,
aves_aa_4R_auth_0291,beildeck,adam,
aves_aa_4R_auth_0292,pfluger,oberlin,
aves_aa_4R_auth_0293,stacheler,johanns,
aves_aa_4R_auth_0294,götze,bechtolt,
aves_aa_4R_auth_0295,risser,konrat,
aves_aa_4R_auth_0296,kutteltzheim,michel,der junge
aves_aa_4R_auth_0297,giger,johanns,
aves_aa_4R_auth_0298,meiger,claus,
aves_aa_4R_auth_0299,gerbot,johanns,
aves_aa_4R_auth_0300,bülle,johanns,
aves_aa_4R_auth_0301,hugelin,,sankt-martin
aves_aa_4R_auth_0302,stacheler,claus,
aves_aa_4R_auth_0303,dreitzehn,diebolt,
aves_aa_4R_auth_0304,brüchelin,johanns,klein
aves_aa_4R_auth_0305,träger,oberlin,
aves_aa_4R_auth_0306,dürr,claus,
aves_aa_4R_auth_0307,landolff,jacob,
aves_aa_4R_auth_0308,scheubelin,johanns,
aves_aa_4R_auth_0309,kalt,johanns,
aves_aa_4R_auth_0310,dentener,johanns,
aves_aa_4R_auth_0311,"trüchtersheim, von",ruhlemann,
aves_aa_4R_auth_0312,zoller,johanns,
aves_aa_4R_auth_0313,"ettenheim, von",claus,
aves_aa_4R_auth_0314,,fritsch,"werde, uff dem"
aves_aa_4R_auth_0315,üsenberg,heintz,
aves_aa_4R_auth_0316,stefan,heinrich,
aves_aa_4R_auth_0317,nüffer,behremann,
aves_aa_4R_auth_0318,spete,claus,
aves_aa_4R_auth_0319,bader,oswalt,
aves_aa_4R_auth_0320,schmerwer,andres,
aves_aa_4R_auth_0321,lichtenberg,heinrich,
aves_aa_4R_auth_0322,harrer,oberlin,
aves_aa_4R_auth_0323,dettwiller,claus,
aves_aa_4R_auth_0324,mentzer,adam,
aves_aa_4R_auth_0325,klige,johanns,
aves_aa_4R_auth_0326,,bechtolt,
aves_aa_4R_auth_0327,duntzenheim,claus,
aves_aa_4R_auth_0328,"eckboltzheim, von",johanns,
aves_aa_4R_auth_0329,welsch,lienhart,
aves_aa_4R_auth_0330,phye,heintz,
aves_aa_4R_auth_0331,"bergheim, von",claus,
aves_aa_4R_auth_0332,heide,küntz,
aves_aa_4R_auth_0333,gotzgans,johanns,
aves_aa_4R_auth_0334,trachenfeils,lienhart,der junge
aves_aa_4R_auth_0335,"rheinstett, von",fritsch,
aves_aa_4R_auth_0336,,konrat,"münster, vor dem"
aves_aa_4R_auth_0337,schultheiss,johanns,klein
aves_aa_4R_auth_0338,kerling,jacob,
aves_aa_4R_auth_0339,sturmel,peter,
aves_aa_4R_auth_0340,breitthor,johanns,
aves_aa_4R_auth_0341,phye,reimbolt,
aves_aa_4R_auth_0342,hirtzfelder,heinrich,
aves_aa_4R_auth_0343,kühn,johanns,
aves_aa_4R_auth_0344,missbach,peter,
aves_aa_4R_auth_0345,,marx,
aves_aa_4R_auth_0346,wissemburg,johanns,
aves_aa_4R_auth_0347,kint,heintz,
aves_aa_4R_auth_0348,linzer,claus,
aves_aa_4R_auth_0349,armbruster,konrat,"pfennigturm, vor dem, der junge "
aves_aa_4R_auth_0350,rosemberg,küntz,
aves_aa_4R_auth_0351,monschein,johanns,
aves_aa_4R_auth_0352,schalk,obrecht,
aves_aa_4R_auth_0353,"hellen, zur",claus,
aves_aa_4R_auth_0354,scheubelin,johanns,
aves_aa_4R_auth_0355,grünwalt,jacob,
aves_aa_4R_auth_0356,neuwiller,johanns,
aves_aa_4R_auth_0357,armbruster,johanns,
aves_aa_4R_auth_0358,kesselring,johanns,
aves_aa_4R_auth_0359,giger,johanns,
aves_aa_4R_auth_0360,lumbart,johanns,der junge
aves_aa_4R_auth_0361,riffe,adam,
aves_aa_4R_auth_0362,bischoff,johanns,
aves_aa_4R_auth_0363,siffermann,,
aves_aa_4R_auth_0364,rotgebe,jacob,
aves_aa_4R_auth_0365,ammelung,johanns,
aves_aa_4R_auth_0366,"hellen, zur",johanns,
aves_aa_4R_auth_0367,egen,claus,
aves_aa_4R_auth_0368,büttener,claus,
aves_aa_4R_auth_0369,rohrer,peter,
aves_aa_4R_auth_0370,messer,johanns,
aves_aa_4R_auth_0371,"hochfelden, von",walther,
aves_aa_4R_auth_0372,voltz,küntz,
aves_aa_4R_auth_0373,,gebhart,
aves_aa_4R_auth_0374,ruhlmann,claus,
aves_aa_4R_auth_0375,wingersheim,dielmann,
aves_aa_4R_auth_0376,,michel,
aves_aa_4R_auth_0377,volmar,fritsch,
aves_aa_4R_auth_0378,reimbolt,reimbolt,"judengasse, in"
aves_aa_4R_auth_0379,müsinger,johanns,
aves_aa_4R_auth_0380,messerer,johanns,der junge
aves_aa_4R_auth_0381,villinger,bertsch,
aves_aa_4R_auth_0382,,peter,"gerichte, bei dem"
aves_aa_4R_auth_0383,voltz,peter,
aves_aa_4R_auth_0384,"berse, von",johanns,
aves_aa_4R_auth_0385,"wangen, von",johanns,
aves_aa_4R_auth_0386,kücheler,bartholomeus,
aves_aa_4R_auth_0387,messner,andres,
aves_aa_4R_auth_0388,meiger,johanns,
aves_aa_4R_auth_0389,regisheim,claus,
aves_aa_4R_auth_0390,hüter,marx,
aves_aa_4R_auth_0391,grünwalt,walther,
aves_aa_4R_auth_0392,schindeler,küntz,
aves_aa_4R_auth_0393,"herde, von",andres,
aves_aa_4R_auth_0394,"bergheim, von",hug,
aves_aa_4R_auth_0395,altheim,küntz,
aves_aa_4R_auth_0396,müller,thoman,
aves_aa_4R_auth_0397,happmacher,jacob,
aves_aa_4R_auth_0398,leimer,heinrich,
aves_aa_4R_auth_0399,"lahr, von",johanns,
aves_aa_4R_auth_0400,dreitzehn,reimbolt,
aves_aa_4R_auth_0401,"morsmünster, von",claus,
aves_aa_4R_auth_0402,gerlach,,
aves_aa_4R_auth_0403,diener,claus,
aves_aa_4R_auth_0404,dusche,fritsch,
aves_aa_4R_auth_0405,,bernhart,"kurbengasse, in"
aves_aa_4R_auth_0406,hühnerer,küntz,
aves_aa_4R_auth_0407,henneckin,johanns,
aves_aa_4R_auth_0408,schertzheim,jerge,
aves_aa_4R_auth_0409,messner,wernher,
aves_aa_4R_auth_0410,ricker,claus,
aves_aa_4R_auth_0411,dreitzehn,jerge,
aves_aa_4R_auth_0412,weipolt,johanns,
aves_aa_4R_auth_0413,"mentz, von",küntz,duchscherer
aves_aa_4R_auth_0414,"seltz, von",johanns,
aves_aa_4R_auth_0415,"berse, von",lexius,
aves_aa_4R_auth_0416,meiger,heinrich,
aves_aa_4R_auth_0417,ludemann,claus,
aves_aa_4R_auth_0418,bleiweger,diebolt,
aves_aa_4R_auth_0419,,sifrit,"werde, uff dem"
aves_aa_4R_auth_0420,brant,lauwel,
