PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
Paulus,Paul,"['masc', 'latin']","['Paulus', 'Paüels', 'Pauels', 'Pavels']"
Peter,Pierre,"['masc', 'grec']","['Peter', 'Peterman']"
Philipp,,"['masc', 'latin']","['Philipps', 'Philipp', 'Philips', 'Philippe', 'Pfilips']"
Reimbolt,Rimbault,"['masc', 'germanique']","['Reimbolt', 'Reimbold', 'Reinbolt', 'Reinbold', 'Reymbolt', 'Boldel']"
Reimbolt-Hiltebrant,Rimbaud-Hildebrand,"['masc', 'compose', 'germanique']","['Reimbolt Hiltbrant', 'Reimbolt-Hiltebrant']"
Reinhart,,"['masc', 'germanique']",['Reinhart']
Richart,Richard,"['masc', 'germanique']","['Richart', 'Richard']"
Riffe,,"['masc', 'germanique']","['Rifelin', 'Riffe', 'Rufelin', 'Rufel', 'Rüffel', 'Ruffel']"
Rudolff,Rodolphe,"['masc', 'germanique']","['Rüdolf', 'Rüdolff', 'Rudolf', 'Rudolff', 'Ruͦdolff', 'Ruͦdolff', 'Rùdolff']"
Ruhlemann,Rodolphe,"['masc', 'germanique', 'diminutif']","['Rüle', 'Rülman', 'Rüllin', 'Ruͦlman', 'Ruͤllin', 'Rullin', 'Rùllin', 'Rùlin', 'Rülin', 'Rulman', 'Rüleman', 'Rulin']"
Ruther,,"['masc', 'germanique']","['Rüther', 'Ruther']"
Schochmann,,"['masc', 'germanique']","['Schochman', 'Schochmann']"
Schweicker,,"['masc', 'germanique']","['Swicker', 'Schweicker']"
Siegel,Sigel,"['masc', 'germanique']","['Siegel', 'Sigel']"
Sifrit,Siegfried,"['masc', 'germanique']","['Sifrit', 'Syfrit', 'Sỳfrit', 'Sifrÿt', 'Sÿfrit']"
Sigel,,"['masc', 'germanique']","['Sigelin', 'Sigel']"
Sixt,Sixte,"['masc', 'latin']","['Sixt', 'Six', 'Sitze', 'Sitz', 'Sytze']"
Stefan,Stéphane,"['masc', 'grec']","['Stefan', 'Steffan', 'Steffann', 'Stepfan', 'Stephan', 'Stephann']"
Stoffelus,Christophe,"['masc', 'grec']","['Stoffelus', 'Stofelus', 'Stoffels', 'Stöffelus', 'Stöfelus', 'Stöfels', 'Stöffelin']"
Symont,Simon,"['masc', 'hébraïque']","['Symont', 'Symond', 'Simont', 'Simond', 'Sÿmont', 'Symon', 'Sỳmont', 'Symmont', 'Symund', 'Symunt']"
Thoman,Thomas,"['masc', 'arameen']","['Thoman', 'Thomman', 'Thomann', 'Thumman', 'Döman']"
Uhlmann,,"['masc', 'germanique']","['Üllin', 'Uhlmann', 'Ullin', 'Ule', 'Ulman']"
